ZoMo-Programm;Sampling year;Microorganism;Sample type;Superordinate sample origin;Sample origin;Sampling stage;Matrix group;Matrix;Matrix_detail_en;Sampling reason;Number of samples (N), with quantitative analysis;Number of positive samples above the limit of quantification of 10 cfu/g;Proportion (in %) of positive samples above the limit of quantification of 10 cfu/g;Number of positive samples > 100 cfu/g;Proportion (in %) of positive samples > 100 cfu/g;Number of positive samples > 1.000 cfu/g;Proportion (in %) of positive samples > 1.000 cfu/g;Number of positive samples ≥ 10 cfu/g and ≤ 100 cfu/g;Proportion (in %) of positive samples ≥ 10 cfu/g and ≤ 100 cfu/g;Number of positive samples ≥ 10 cfu/g and ≤ 1.000 cfu/g;Proportion (in %) of positive samples ≥ 10 cfu/g and ≤ 1.000 cfu/g;Number of positive samples > 100 cfu/g and ≤ 1.000 cfu/g;Proportion (in %) of positive samples > 100 cfu/g and ≤ 1.000 cfu/g;Number of positive samples > 1.000 cfu/g and  ≤ 10.000 cfu/g;Proportion (in %) of positive samples > 1.000 cfu/g and  ≤ 10.000 cfu/g;Number of positive samples > 10.000 cfu/g and  ≤ 100.000 cfu/g;Proportion (in %) of positive samples > 10.000 cfu/g and  ≤ 100.000 cfu/g;Number of positive samples > 100.000 cfu/g and  ≤ 1.000.000 cfu/g;Proportion (in %) of positive samples > 100.000 cfu/g and  ≤ 1.000.000 cfu/g;Cfu/g of positive samples - Minimum;Cfu/g of positive samples - Median;Cfu/g of positive samples - Mean;Cfu/g of positive samples - Maximum
EH8;2009;Campylobacter spp.;Food;Beef (animal/food samples);Cattle (bovine animals);Retail;Meat and meat products;Meat products;;Zoonosen-Monitoring;24;0;;;;;;;;;;;;;;;;;;;;;
EH9;2009;Campylobacter spp.;Food;Pig (animal/food samples);Fattening pig;Retail;Meat and meat products;Fresh meat;gekühlt;Zoonosen-Monitoring;192;0;;;;;;;;;;;;;;;;;;;;;
EH9;2009;Campylobacter spp.;Food;Pig (animal/food samples);Fattening pig;Retail;Meat and meat products;Minced meat;gekühlt;Zoonosen-Monitoring;192;1;0.5;;;;;;;;;;;;;;;;;;;;100
EH9;2009;Campylobacter spp.;Food;Pig (animal/food samples);Fattening pig;Retail;Meat and meat products;Meat products;;Zoonosen-Monitoring;155;0;;;;;;;;;;;;;;;;;;;;;
EH9;2010;Campylobacter spp.;Food;Turkey (animal/food samples);Fattening turkeys;Retail;Meat and meat products;Fresh meat;gekühlt;Zoonosen-Monitoring;553;2;0.4;;;;;;;;;;;;;;;;;10;15;14;20
EH11;2013;MRSA;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt;Zoonosen-Monitoring;57;0;0;;;;;;;;;;;;;;;;;;;;
EH10;2014;Listeria monocytogenes;Food;Beef (animal/food samples);Dairy cattle;Retail;Milk and dairy products;Raw milk cheese;Schnittkäse;Zoonosen-Monitoring;261;0;0;;;;;;;;;;;;;;;;;;;;
EH12;2015;Listeria monocytogenes;Food;Ruminants (animal/food samples);Sheep and goats for milk production;Retail;Milk and dairy products;Raw milk cheese;außer Hartkäse;Zoonosen-Monitoring;247;1;0.4;1;0.4;;;;;;;;;;;;;;;;;;570
EH14;2017;Listeria monocytogenes;Food;Beef (animal/food samples);Cattle (bovine animals);Retail;Meat and meat products;Tartare/scraped meat;gekühlt;Zoonosen-Monitoring;251;5;2;;;;;;;;;;;;;;;;;10;30;;35
EH15;2017;Campylobacter spp.;Food;Chicken (animal/food samples);Broilers;Retail;Meat and meat products;Fresh meat;gekühlt, ohne Haut;Zoonosen-Monitoring;342;31;9.1;;;;;;;;;;;;;;;;;10;45;;680
